,node_loc,technology,year_vtg,value,unit
83,South Africa,coal_ppl,2040,733,USD/GWa
84,South Africa,coal_ppl,2050,779,USD/GWa
85,South Africa,coal_ppl,2060,825,USD/GWa
86,South Africa,coal_ppl,2070,871,USD/GWa
87,South Africa,elec_i,1990,40,USD/GWa
88,South Africa,elec_i,1995,40,USD/GWa
89,South Africa,elec_i,2000,40,USD/GWa
90,South Africa,elec_i,2005,38,USD/GWa
91,South Africa,elec_i,2010,36,USD/GWa
92,South Africa,elec_i,2020,35,USD/GWa
93,South Africa,elec_i,2030,35,USD/GWa
94,South Africa,elec_i,2040,35,USD/GWa
95,South Africa,elec_i,2050,36,USD/GWa
96,South Africa,elec_i,2060,37,USD/GWa
97,South Africa,elec_i,2070,38,USD/GWa
98,South Africa,elec_t_d,1990,1120,USD/GWa
99,South Africa,elec_t_d,1995,1120,USD/GWa
100,South Africa,elec_t_d,2000,1120,USD/GWa
101,South Africa,elec_t_d,2005,1120,USD/GWa
102,South Africa,elec_t_d,2010,1120,USD/GWa
103,South Africa,elec_t_d,2020,1120,USD/GWa
104,South Africa,elec_t_d,2030,1120,USD/GWa
105,South Africa,elec_t_d,2040,1120,USD/GWa
106,South Africa,elec_t_d,2050,1120,USD/GWa
107,South Africa,elec_t_d,2060,1120,USD/GWa
108,South Africa,elec_t_d,2070,1120,USD/GWa
109,South Africa,foil_exp,2010,275,???
110,South Africa,foil_exp,2020,275,???
111,South Africa,foil_exp,2030,275,???
112,South Africa,foil_exp,2040,275,???
113,South Africa,foil_exp,2050,275,???
114,South Africa,foil_exp,2060,275,???
115,South Africa,foil_exp,2070,275,???
116,South Africa,foil_i,1990,86,USD/GWa
117,South Africa,foil_i,1995,86,USD/GWa
118,South Africa,foil_i,2000,86,USD/GWa
119,South Africa,foil_i,2005,82,USD/GWa
120,South Africa,foil_i,2010,77,USD/GWa
121,South Africa,foil_i,2020,75,USD/GWa
122,South Africa,foil_i,2030,74,USD/GWa
123,South Africa,foil_i,2040,75,USD/GWa
124,South Africa,foil_i,2050,78,USD/GWa
125,South Africa,foil_i,2060,81,USD/GWa
126,South Africa,foil_i,2070,84,USD/GWa
127,South Africa,foil_ppl,1990,730,USD/GWa
128,South Africa,foil_ppl,1995,730,USD/GWa
129,South Africa,foil_ppl,2000,730,USD/GWa
130,South Africa,foil_ppl,2005,730,USD/GWa
131,South Africa,foil_ppl,2010,730,USD/GWa
132,South Africa,foil_ppl,2020,730,USD/GWa
133,South Africa,foil_ppl,2030,730,USD/GWa
134,South Africa,foil_ppl,2040,730,USD/GWa
135,South Africa,foil_ppl,2050,730,USD/GWa
136,South Africa,foil_ppl,2060,730,USD/GWa
137,South Africa,foil_ppl,2070,730,USD/GWa
138,South Africa,gas_bio,2010,641,USD/GWa
139,South Africa,gas_bio,2020,622,USD/GWa
140,South Africa,gas_bio,2030,602,USD/GWa
141,South Africa,gas_bio,2040,583,USD/GWa
142,South Africa,gas_bio,2050,583,USD/GWa
143,South Africa,gas_bio,2060,583,USD/GWa
144,South Africa,gas_bio,2070,583,USD/GWa
145,South Africa,gas_cc,1995,395,USD/GWa
146,South Africa,gas_cc,2000,395,USD/GWa
147,South Africa,gas_cc,2005,369,USD/GWa
148,South Africa,gas_cc,2010,330,USD/GWa
149,South Africa,gas_cc,2020,304,USD/GWa
150,South Africa,gas_cc,2030,291,USD/GWa
151,South Africa,gas_cc,2040,289,USD/GWa
152,South Africa,gas_cc,2050,295,USD/GWa
153,South Africa,gas_cc,2060,301,USD/GWa
154,South Africa,gas_cc,2070,307,USD/GWa
155,South Africa,gas_cc_ccs,2020,677,USD/GWa
156,South Africa,gas_cc_ccs,2030,650,USD/GWa
157,South Africa,gas_cc_ccs,2040,642,USD/GWa
158,South Africa,gas_cc_ccs,2050,648,USD/GWa
159,South Africa,gas_cc_ccs,2060,654,USD/GWa
160,South Africa,gas_cc_ccs,2070,660,USD/GWa
161,South Africa,gas_ct,1990,271,USD/GWa
162,South Africa,gas_ct,1995,271,USD/GWa
163,South Africa,gas_ct,2000,271,USD/GWa
164,South Africa,gas_ct,2005,256,USD/GWa
165,South Africa,gas_ct,2010,233,USD/GWa
166,South Africa,gas_ct,2020,217,USD/GWa
167,South Africa,gas_ct,2030,207,USD/GWa
168,South Africa,gas_ct,2040,203,USD/GWa
169,South Africa,gas_ct,2050,204,USD/GWa
170,South Africa,gas_ct,2060,205,USD/GWa
171,South Africa,gas_ct,2070,206,USD/GWa
172,South Africa,gas_exp,2010,180,???
173,South Africa,gas_exp,2020,180,???
174,South Africa,gas_exp,2030,180,???
175,South Africa,gas_exp,2040,180,???
176,South Africa,gas_exp,2050,180,???
177,South Africa,gas_exp,2060,180,???
178,South Africa,gas_exp,2070,180,???
179,South Africa,gas_extr,2010,372,???
180,South Africa,gas_extr,2020,372,???
181,South Africa,gas_extr,2030,372,???
182,South Africa,gas_extr,2040,372,???
183,South Africa,gas_extr,2050,372,???
184,South Africa,gas_extr,2060,372,???
185,South Africa,gas_extr,2070,372,???
186,South Africa,gas_i,1990,78,USD/GWa
187,South Africa,gas_i,1995,78,USD/GWa
188,South Africa,gas_i,2000,78,USD/GWa
189,South Africa,gas_i,2005,75,USD/GWa
190,South Africa,gas_i,2010,70,USD/GWa
191,South Africa,gas_i,2020,68,USD/GWa
192,South Africa,gas_i,2030,67,USD/GWa
193,South Africa,gas_i,2040,68,USD/GWa
194,South Africa,gas_i,2050,70,USD/GWa
195,South Africa,gas_i,2060,72,USD/GWa
196,South Africa,gas_i,2070,74,USD/GWa
197,South Africa,gas_ppl,1990,458,USD/GWa
198,South Africa,gas_ppl,1995,458,USD/GWa
199,South Africa,gas_ppl,2000,458,USD/GWa
200,South Africa,gas_ppl,2005,433,USD/GWa
201,South Africa,gas_ppl,2010,393,USD/GWa
202,South Africa,gas_ppl,2020,366,USD/GWa
203,South Africa,gas_ppl,2030,351,USD/GWa
204,South Africa,gas_ppl,2040,344,USD/GWa
205,South Africa,gas_ppl,2050,344,USD/GWa
206,South Africa,gas_ppl,2060,344,USD/GWa
207,South Africa,gas_ppl,2070,344,USD/GWa
208,South Africa,gas_t_d,1990,200,USD/GWa
209,South Africa,gas_t_d,1995,200,USD/GWa
210,South Africa,gas_t_d,2000,200,USD/GWa
211,South Africa,gas_t_d,2005,200,USD/GWa
212,South Africa,gas_t_d,2010,200,USD/GWa
213,South Africa,gas_t_d,2020,200,USD/GWa
214,South Africa,gas_t_d,2030,200,USD/GWa
215,South Africa,gas_t_d,2040,200,USD/GWa
216,South Africa,gas_t_d,2050,200,USD/GWa
217,South Africa,gas_t_d,2060,200,USD/GWa
218,South Africa,gas_t_d,2070,200,USD/GWa
219,South Africa,hydro_ppl,2010,2246,???
220,South Africa,hydro_ppl,2020,2239,???
221,South Africa,hydro_ppl,2030,2239,???
222,South Africa,hydro_ppl,2040,2288,???
223,South Africa,hydro_ppl,2050,2364,???
224,South Africa,hydro_ppl,2060,2440,???
225,South Africa,hydro_ppl,2070,2516,???
226,South Africa,igcc,2010,1160,USD/GWa
227,South Africa,igcc,2020,1025,USD/GWa
228,South Africa,igcc,2030,949,USD/GWa
229,South Africa,igcc,2040,923,USD/GWa
230,South Africa,igcc,2050,933,USD/GWa
231,South Africa,igcc,2060,943,USD/GWa
232,South Africa,igcc,2070,953,USD/GWa
233,South Africa,igcc_ccs,2020,1537,USD/GWa
234,South Africa,igcc_ccs,2030,1433,USD/GWa
235,South Africa,igcc_ccs,2040,1390,USD/GWa
236,South Africa,igcc_ccs,2050,1395,USD/GWa
237,South Africa,igcc_ccs,2060,1400,USD/GWa
238,South Africa,igcc_ccs,2070,1405,USD/GWa
239,South Africa,loil_exp,2010,235,???
240,South Africa,loil_exp,2020,235,???
241,South Africa,loil_exp,2030,235,???
242,South Africa,loil_exp,2040,235,???
243,South Africa,loil_exp,2050,235,???
244,South Africa,loil_exp,2060,235,???
245,South Africa,loil_exp,2070,235,???
246,South Africa,loil_i,1990,74,USD/GWa
247,South Africa,loil_i,1995,74,USD/GWa
248,South Africa,loil_i,2000,74,USD/GWa
249,South Africa,loil_i,2005,72,USD/GWa
250,South Africa,loil_i,2010,67,USD/GWa
251,South Africa,loil_i,2020,65,USD/GWa
252,South Africa,loil_i,2030,65,USD/GWa
253,South Africa,loil_i,2040,65,USD/GWa
254,South Africa,loil_i,2050,67,USD/GWa
255,South Africa,loil_i,2060,69,USD/GWa
256,South Africa,loil_i,2070,71,USD/GWa
257,South Africa,loil_ppl,1990,600,USD/GWa
258,South Africa,loil_ppl,1995,600,USD/GWa
259,South Africa,loil_ppl,2000,600,USD/GWa
260,South Africa,loil_ppl,2005,600,USD/GWa
261,South Africa,loil_ppl,2010,600,USD/GWa
262,South Africa,loil_ppl,2020,600,USD/GWa
263,South Africa,loil_ppl,2030,600,USD/GWa
264,South Africa,loil_ppl,2040,600,USD/GWa
265,South Africa,loil_ppl,2050,600,USD/GWa
266,South Africa,loil_ppl,2060,600,USD/GWa
267,South Africa,loil_ppl,2070,600,USD/GWa
268,South Africa,meth_coal,2020,694,USD/GWa
269,South Africa,meth_coal,2030,673,USD/GWa
270,South Africa,meth_coal,2040,676,USD/GWa
271,South Africa,meth_coal,2050,697,USD/GWa
272,South Africa,meth_coal,2060,718,USD/GWa
273,South Africa,meth_coal,2070,739,USD/GWa
274,South Africa,meth_coal_ccs,2020,704,USD/GWa
275,South Africa,meth_coal_ccs,2030,685,USD/GWa
276,South Africa,meth_coal_ccs,2040,688,USD/GWa
277,South Africa,meth_coal_ccs,2050,710,USD/GWa
278,South Africa,meth_coal_ccs,2060,732,USD/GWa
279,South Africa,meth_coal_ccs,2070,754,USD/GWa
280,South Africa,meth_ng,2020,365,USD/GWa
281,South Africa,meth_ng,2030,354,USD/GWa
282,South Africa,meth_ng,2040,355,USD/GWa
283,South Africa,meth_ng,2050,366,USD/GWa
284,South Africa,meth_ng,2060,377,USD/GWa
285,South Africa,meth_ng,2070,388,USD/GWa
286,South Africa,meth_ng_ccs,2020,395,USD/GWa
287,South Africa,meth_ng_ccs,2030,384,USD/GWa
288,South Africa,meth_ng_ccs,2040,386,USD/GWa
289,South Africa,meth_ng_ccs,2050,398,USD/GWa
290,South Africa,meth_ng_ccs,2060,410,USD/GWa
291,South Africa,meth_ng_ccs,2070,422,USD/GWa
292,South Africa,nuc_ppl,2010,2752.2,???
293,South Africa,nuc_ppl,2020,2441.12,???
294,South Africa,nuc_ppl,2030,2274.03,???
295,South Africa,nuc_ppl,2040,2207.535,???
296,South Africa,nuc_ppl,2050,2203.52,???
297,South Africa,nuc_ppl,2060,2183.774775,???
298,South Africa,nuc_ppl,2070,2148.29965,???
299,South Africa,oil_exp,2010,235,???
300,South Africa,oil_exp,2020,235,???
301,South Africa,oil_exp,2030,235,???
302,South Africa,oil_exp,2040,235,???
303,South Africa,oil_exp,2050,235,???
304,South Africa,oil_exp,2060,235,???
305,South Africa,oil_exp,2070,235,???
306,South Africa,oil_extr,2010,450,???
307,South Africa,oil_extr,2020,450,???
308,South Africa,oil_extr,2030,450,???
309,South Africa,oil_extr,2040,450,???
310,South Africa,oil_extr,2050,450,???
311,South Africa,oil_extr,2060,450,???
312,South Africa,oil_extr,2070,450,???
313,South Africa,ref_hil,1995,32.24176,USD/GWa
314,South Africa,ref_hil,2000,33.04348,USD/GWa
315,South Africa,ref_hil,2005,33.040543,USD/GWa
316,South Africa,ref_hil,2010,32.741936,USD/GWa
317,South Africa,ref_hil,2020,31.276594,USD/GWa
318,South Africa,ref_hil,2030,28.631578,USD/GWa
319,South Africa,ref_hil,2040,28.631578,USD/GWa
320,South Africa,ref_hil,2050,28.631578,USD/GWa
321,South Africa,ref_hil,2060,28.631578,USD/GWa
322,South Africa,ref_hil,2070,28.631578,USD/GWa
323,South Africa,shale_extr,2020,372,???
324,South Africa,shale_extr,2030,372,???
325,South Africa,shale_extr,2040,372,???
326,South Africa,shale_extr,2050,372,???
327,South Africa,shale_extr,2060,372,???
328,South Africa,shale_extr,2070,372,???
329,South Africa,solar_i,2010,1187,???
330,South Africa,solar_i,2020,942,???
331,South Africa,solar_i,2030,783,???
332,South Africa,solar_i,2040,694,???
333,South Africa,solar_i,2050,658,???
334,South Africa,solar_i,2060,622,???
335,South Africa,solar_i,2070,586,???
336,South Africa,solar_pv_ppl,2010,1926,???
337,South Africa,solar_pv_ppl,2020,1365.15,???
338,South Africa,solar_pv_ppl,2030,1011.6,???
339,South Africa,solar_pv_ppl,2040,807.5,???
340,South Africa,solar_pv_ppl,2050,704.8,???
341,South Africa,solar_pv_ppl,2060,609,???
342,South Africa,solar_pv_ppl,2070,520.1,???
343,South Africa,solar_th_ppl,2010,3346,???
344,South Africa,solar_th_ppl,2020,2840,???
345,South Africa,solar_th_ppl,2030,2533,???
346,South Africa,solar_th_ppl,2040,2383,???
347,South Africa,solar_th_ppl,2050,2352,???
348,South Africa,solar_th_ppl,2060,2321,???
349,South Africa,solar_th_ppl,2070,2290,???
350,South Africa,solar_th_ppl_base,2010,6946,???
351,South Africa,solar_th_ppl_base,2020,5727,???
352,South Africa,solar_th_ppl_base,2030,4969,???
353,South Africa,solar_th_ppl_base,2040,4580,???
354,South Africa,solar_th_ppl_base,2050,4466,???
355,South Africa,solar_th_ppl_base,2060,4352,???
356,South Africa,solar_th_ppl_base,2070,4238,???
357,South Africa,syn_liq,2020,953,USD/GWa
358,South Africa,syn_liq,2030,924,USD/GWa
359,South Africa,syn_liq,2040,928,USD/GWa
360,South Africa,syn_liq,2050,957,USD/GWa
361,South Africa,syn_liq,2060,986,USD/GWa
362,South Africa,syn_liq,2070,1015,USD/GWa
363,South Africa,syn_liq_ccs,2020,965,USD/GWa
364,South Africa,syn_liq_ccs,2030,938,USD/GWa
365,South Africa,syn_liq_ccs,2040,943,USD/GWa
366,South Africa,syn_liq_ccs,2050,973,USD/GWa
367,South Africa,syn_liq_ccs,2060,1003,USD/GWa
368,South Africa,syn_liq_ccs,2070,1033,USD/GWa
369,South Africa,wind_ppl,2010,956.65,???
370,South Africa,wind_ppl,2020,811.3,???
371,South Africa,wind_ppl,2030,675.9,???
372,South Africa,wind_ppl,2040,585.65,???
373,South Africa,wind_ppl,2050,528,???
374,South Africa,wind_ppl,2060,473.25,???
375,South Africa,wind_ppl,2070,421.4,???
